text,label
请举手的同学先说一下你的想法。,回答
刚刚那位举手的同学，请你来发言。,回答
你刚才举手，是想补充这个结论吗？,回答
前面举手的那位同学，你来回答第二问。,回答
李昌龙，你觉得崔展豪回答的对吗？,回答
崔展豪，张晓丹回答的对吗？,回答
张晓丹，请你说说崔展豪回答得怎么样。,回答
包梓群，你来评价一下萧华诗刚才的回答。,回答
丽娃，你怎么看张晓丹刚才的解法？,回答
萧华诗，你认为包梓群这个答案对不对？,回答
李昌龙，你评价一下丽娃刚才的想法。,回答
崔展豪，你觉得张晓丹这个答案是否正确？,回答
张晓丹，你来说说李昌龙刚才回答得怎么样。,回答
李昌龙，你判断一下崔展豪这一步有没有问题。,回答
崔展豪，你评价一下张晓丹刚才的发言。,回答
包梓群，你看看丽娃的答案对不对。,回答
丽娃，你说说萧华诗这个结论是否成立。,回答
萧华诗，你来判断张晓丹的回答是否完整。,回答
张晓丹，你评价一下包梓群的解题过程。,回答
李昌龙，你觉得丽娃刚才的解释清楚吗？,回答
崔展豪，你说说李昌龙的结果是不是对的。,回答
包梓群，你来看看张晓丹这一步对吗？,回答
丽娃，你评价一下崔展豪的答案是否合理。,回答
萧华诗，你判断一下李昌龙的回答有没有遗漏。,回答
张晓丹，你觉得包梓群这个思路可不可行？,回答
李昌龙，你来说说崔展豪的解法对不对。,回答
崔展豪，你帮我判断一下张晓丹的答案是否正确。,回答
包梓群，你来评价崔展豪刚才回答得好不好。,回答
丽娃，你看李昌龙这个方法行不行。,回答
萧华诗，你觉得张晓丹刚才说得有没有道理？,回答
张晓丹，你来分析一下丽娃的答案错在哪里。,回答
李昌龙，你指出崔展豪回答中有没有问题。,回答
崔展豪，你说说包梓群这个答案为什么对。,回答
包梓群，你判断一下李昌龙的想法是否合理。,回答
丽娃，你来评价张晓丹这一题答得怎么样。,回答
萧华诗，你看看崔展豪的结论是否正确。,回答
老师请张晓丹同学回答一下李昌龙同学的问题。,回答
对于丽娃的问题，崔展豪同学能不能给出答案呢？,回答
请包梓群同学回应一下萧华诗刚才提出的问题。,回答
李昌龙的问题由张晓丹来回答一下。,回答
崔展豪同学，请你回答一下包梓群的疑问。,回答
刚才张晓丹提到的问题，丽娃你来解答一下。,回答
请萧华诗同学说说崔展豪这一步为什么这么做。,回答
包梓群刚才那个问题，李昌龙你来回答。,回答
请崔展豪同学解释一下张晓丹的疑惑。,回答
关于李昌龙提出的这个问题，丽娃你怎么看？,回答
张晓丹的问题谁来答？崔展豪你来说一下。,回答
老师想听听包梓群怎么回答萧华诗刚才的问题。,回答
丽娃同学，请你补充一下李昌龙那道题的答案。,回答
请张晓丹同学说明一下崔展豪刚才那道题怎么做。,回答
崔展豪提的这个问题，包梓群你来回应一下。,回答
对于张晓丹刚才的疑问，李昌龙你来解释一下。,回答
李昌龙同学，请你回答丽娃刚刚提出来的问题。,回答
萧华诗的问题由崔展豪来补充说明一下。,回答
请丽娃同学讲讲包梓群那一步为什么错了。,回答
张晓丹刚才那个问题，萧华诗你来作答。,回答
关于崔展豪的疑问，李昌龙同学你来回答一下。,回答
包梓群那道题还没讲清楚，张晓丹你来补充回答。,回答
请李昌龙同学给出张晓丹刚才那个问题的答案。,回答
丽娃刚才问的那个地方，包梓群你来解释。,回答
崔展豪同学，你来回答一下萧华诗的问题。,回答
请张晓丹同学回应一下丽娃对这道题的疑问。,回答
李昌龙刚才提到的那个问题，崔展豪你来作答。,回答
对于包梓群的看法，萧华诗你来回答一下。,回答
请丽娃回答一下张晓丹刚才提出的那个问题。,回答
萧华诗刚才的疑问，李昌龙同学能不能解答一下？,回答
崔展豪的问题由张晓丹同学来说明一下。,回答
请包梓群同学回答一下丽娃的这个问题。,回答
李昌龙你来讲讲张晓丹刚才问的那一步。,回答
请崔展豪同学给丽娃的问题一个回答。,回答
关于萧华诗提出的疑问，包梓群你来解释一下。,回答
张晓丹同学，请你回答崔展豪刚才说到的那个问题。,回答
丽娃的这个问题谁来回答？李昌龙你来说。,回答
包梓群刚刚没听明白，崔展豪你给他解释一下。,回答
请萧华诗同学回答一下张晓丹刚才的困惑。,回答
李昌龙同学能不能说明一下丽娃为什么这么问？,回答
让我们来做个例子。如果一个圆的半径是5厘米，那么它的周长是多少呢？,提问
如果长方形的长是8厘米，宽是3厘米，它的面积是多少呢？,提问
如果一个三角形三条边分别是3、4、5，那么它是什么三角形呢？,提问
圆的直径扩大到原来的2倍，周长会变成多少呢？,提问
一个数乘以0以后结果是多少？,提问
如果分子和分母同时乘2，分数的大小会变吗？,提问
为什么把两个相同的分数相加，结果会变大呢？,提问
如果一个圆的半径是10厘米，它的面积应该怎么算呢？,提问
这一步为什么要先通分呢？,提问
如果把这个式子继续化简，最后会得到什么呢？,提问
大家想一想，这道题的答案应该是多少？,提问
如果把5代入这个式子，结果会是多少呢？,提问
这个角为什么是直角呢？,提问
这里的单位应该填什么呢？,提问
如果周长已知，半径该怎么求呢？,提问
这个分数为什么可以约分呢？,提问
大家看看，这两个量之间是什么关系呢？,提问
如果把顺序交换一下，结果会不会变化呢？,提问
这道题下一步应该怎么算呢？,提问
如果已知面积，我们能反过来求边长吗？,提问

崔展豪你和丽娃讨论一下这个问题。,讨论
李昌龙你和崔展豪一起讨论一下这个思路。,讨论
包梓群你和张晓丹讨论一下谁的方法更好。,讨论
李昌龙和崔展豪先交流一下做法。,讨论
包梓群跟张晓丹讨论一下第二问。,讨论
丽娃和萧华诗先商量一下答案。,讨论
你们两个人先对一对思路。,讨论
你们三位先讨论这个条件怎么用。,讨论
小组里先统一一下答案。,讨论
同学们围绕这个问题讨论两分钟。,讨论
前后桌之间先交流一下看法。,讨论
大家先分小组商量一下。,讨论
请三位同学一起讨论这个方案。,讨论
这道题你们可以先互相讨论。,讨论
请和同桌讨论一下为什么这样列式。,讨论
这两位同学先讨论一下思路。,讨论
你们三个先交流一下答案。,讨论
张晓丹和李昌龙先商量一下。,讨论
崔展豪跟包梓群讨论一下做法。,讨论
丽娃和萧华诗先对一下答案。,讨论
请这三位同学一起讨论第二题。,讨论
前后桌四个人先讨论一下。,讨论
小组成员先互相交流想法。,讨论
大家先就这个问题讨论三分钟。,讨论
请同桌之间先商量一下解法。,讨论
你们几个人围在一起讨论一下。,讨论
这道题请分组讨论完成。,讨论
请两位同学先碰一碰思路。,讨论
三位同学先围绕这个条件讨论一下。,讨论
大家在组内先展开讨论。,讨论

赞成这个做法的请举手。,举手表决
不赞成的同学请举手表决。,举手表决
同意这个结果的请举手。,举手表决
我们现在来举手投票。,举手表决
请大家表决一下是否通过。,举手表决
支持这个方案的同学请举手。,举手表决
反对这个方案的请举手。,举手表决
现在对这个提议进行举手表决。,举手表决
同意这个答案的请举手表决。,举手表决
不同意这个答案的请举手表决。,举手表决
赞成这个提议的请举手表决。,举手表决
反对这个提议的请举手表决。,举手表决
请大家用举手方式进行表决。,举手表决
现在全班举手表决一下。,举手表决
请同意的同学举手。,举手表决
不同意见请举手。,举手表决
我们来对这个方案做一个表决。,举手表决
请大家举手决定是否通过。,举手表决
支持这一方案的请举手表决。,举手表决
反对这一方案的同学请举手。,举手表决
下课,下课
好，下课。,下课
这节课到这里，下课。,下课
今天这节课先上到这里。,下课
好，今天就讲到这里，下课。,下课
可以下课了。,下课
同学们下课。,下课
这节课结束，下课。,下课
今天的内容就到这里，大家下课。,下课
收一下东西，准备下课。,下课
